"";"X";"Nom_scientifique";"ID_espece";"Milieu_recolte";"Genre";"Espece";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_rami";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD";"BD_mean";"Nb_FI";"Nb_essais";"groupe";"BD_mean_cr";"TD_cr";"LA_cr";"LDMC_cr";"LMC_t24_cr";"SLA_cr";"Nb_rami_cr";"Gmin_cr";"LMC_t0_cr";"ratio";"logLMC24";"logLMC0"
"14";14;"Calophyllum caledonicum";39;"F";"Calophyllum";"caledonicum";26,6;1,5;65,3;8,4;1,6;8,4;33;33;744,04;38;38;1;8,6;4,39;96,14;85,1;511,55;0,63;12,01;15,3;128,14;96,6;13,87;438,83;31,76;5560,86;80,27;1,21;4,39;5;5;"4";-0,332023910121662;-0,101443145545158;-0,462048748936922;0,753046694834203;-0,319535065060925;-0,919784717698558;0,36162173880382;-0,43308819173142;-0,714132973770758;0,753862962384892;4,57057874121847;4,85312341621088
"15";15;"Calophyllum inophyllum";13;"G";"Calophyllum";"inophyllum";28,5;3,2;68,1;9,1;0,9;9,1;33,6;33,6;622,58;78;78;1;1,6;14,43;126,98;106,94;442,46;0,6;11,59;9,27;144,14;105,03;16,09;415,76;110,17;6810,71;63,82;1,24;14,43;5;5;"4";1,58083874712945;-0,267216090704318;0,454859698849207;0,525306717698994;-0,232925281878809;-0,683307423471527;-0,962245215368309;-0,740013465976108;-0,566759523133802;0,728666574164007;4,65424602363468;4,9707850494963
"16";16;"Casuarina collina";8;"";"Casuarina";"collina";29,6;3,8;71,9;9,5;0,5;9,5;38;38;702,62;94,17;94,17;1;23,33;4,52;70,81;51,11;586,74;0,5;8,97;11,55;110,58;29,78;38,19;478,88;4,52;12421,98;44,89;1,17;4,52;6;6;"4";-0,307255768145303;-0,819792574568186;-0,780587023617373;1,14840803355397;-1,00604345322569;0,378370335281372;3,14741605808317;-0,623962118500504;-0,875875335844817;0,269307288840658;3,39383702725586;4,70573924090979
"17";17;"Cerbera manghas";20;"G";"Cerbera";"manghas";29,1;1,5;68,8;5,67;1,25;8,75;12,83;16;424,57;10;15;0,67;3,33;5,43;223,47;201,5;333,02;0,75;15,92;2,8;281,45;251,62;7,8;263,52;68,34;13831,27;19,61;1,26;5,43;4;6;"2";-0,13387877431079;0,561648635091484;-0,0342906693550246;-0,977559954128667;1,27313973789181;0,645014401354271;-0,635060953837197;-1,06933461429503;0,697981008551228;0,894013146207142;5,52792001292299;5,63995481191004
"18";18;"Cerberiopsis candelabra";58;"";"Cerberiopsis";"candelabra";29,7;6;64;0,5;5,83;4,17;1,17;4,83;192,65;0,83;4;0,17;0;32,11;151,83;137,01;409;0,74;15,53;19,96;228,46;149,86;24,05;305,45;119,14;5684,74;54,29;1,5;32,11;1;6;"1";4,94930605591427;0,506390986705097;0,559752809123937;-0,563639830969616;0,227657942326914;-0,896346059292473;-1,26484337632194;-0,195895525399705;0,209898561722958;0,655957279173597;5,00970152493616;5,4313611403058
"19";19;"Codia spatulata";5;"M";"Codia";"spatulata";31,8;4,2;54,9;8,33;1,67;8,33;64,17;64,17;785,05;62,5;62,5;1;9,83;5,05;81,09;67,98;553,61;0,74;13,78;21,82;112,2;70,75;19,59;472,06;18,25;4727,26;101,07;2,12;5,05;6;6;"5";-0,206277958549378;0,506390986705097;-0,620031571658394;1,08108308149233;-0,585117852161481;-1,07750562218122;0,594244075036922;-0,10122205772224;-0,860953773967825;0,630570409982175;4,25915253652335;4,7202829930886
"20";20;"Codiaeum peltatum";42;"L";"Codiaeum";"peltatum";27,4;1,4;75;8,7;1,3;8,7;14;14;636,68;20;20;1;5,4;1,95;89,51;73,33;528,97;0,52;9,83;4,41;208,95;183,68;8,23;325,39;21,82;12040,1;27,66;0,91;1,95;5;5;"2";-0,796902882601015;-0,709277277795413;-0,578284815395207;-0,366798255587039;0,575124474618629;0,306116905574273;-0,243574583103439;-0,98738607506884;0,0301950603525196;0,879061976549414;5,2131951131312;5,34209498889392
"21";21;"Commersonia bartramia";61;"";"Commersonia";"bartramia";27,9;2;70,9;9,33;0,67;9,33;30,5;30,5;742,22;64,17;64,17;1;5,67;5,41;145,24;107,53;409,7;0,4;9,86;11,29;167,3;56,44;41,29;375,84;69,07;17349,67;22,34;1,09;5,41;6;6;"4";-0,137689257691768;-1,37236905843205;-0,025754217794205;0,131228699179812;-0,732138729662795;1,31071165463137;-0,192511143442514;-0,637196044089828;-0,353436453336807;0,33735803945009;4,03317812698461;5,11978860799278
"22";22;"Cordia dichotoma";44;"L";"Cordia";"dichotoma";25,7;1,2;76,8;9,17;0,83;9,17;20;20;571,2;30;30;0,83;1,17;1,55;209,58;162,79;325,96;0,39;7,65;60,81;258,28;35,66;61,81;281,48;44,98;13653,7;21,71;0,77;1,55;5;6;"2";-0,873112550220581;-1,42762670681844;-0,307457119301256;-0,800264332570437;-0,945632358906492;0,611417351199537;-1,0435684711246;1,88335778353818;0,484565830347585;0,138067213876413;3,57402961243499;5,55404426775827
"23";23;"Crossostylis grandiflora";48;"F";"Crossostylis";"grandiflora";29,5;5;59,9;8,92;1,08;8,92;20,17;20,17;656,78;42,5;42,5;1;3,83;9,36;156,55;140,71;389,96;0,6;11,48;35,92;219,21;166,39;16,82;315,96;73,65;8897,99;36,9;1,65;8,82;6;6;"4";0,511998158765033;-0,267216090704318;0,0278032454229929;-0,45988832859896;0,397487090132415;-0,288384571373918;-0,540499028539188;0,616463906929516;0,124698285573468;0,75904383924091;5,11433443042742;5,39003017447124
"24";24;"Deplanchea speciosa";63;"";"Deplanchea";"speciosa";31,7;3;66,5;9,17;0,83;9,17;25;25;694,5;70;70;1;0,17;12,91;182,33;156,55;356,91;0,67;14,16;12,71;270,23;193,3;21,55;274,11;222,89;8956,24;32,29;1,57;12,91;6;6;"4";1,2912420101751;0,119587448000389;1,77298136999386;-0,873018716249956;0,67396031260344;-0,277363406923204;-1,23269232172062;-0,564918450486601;0,594635376292062;0,715316582170743;5,26424338621429;5,59927344823036
"25";25;"Diospyros fasciculosa";40;"L";"Diospyros";"fasciculosa";27,4;1,4;75;9,33;0,67;9,33;20,33;20,33;709,98;33,33;33,33;1;7,5;2,21;86,77;73,44;536,18;0,48;9,1;10,66;103,56;58,03;22,36;492,79;35,83;9206,86;55,53;0,91;2,21;6;6;"4";-0,747366598648297;-0,93030787134096;-0,414455108043037;1,28572329501694;-0,715803076607094;-0,229944965126846;0,153585503148199;-0,669262863787034;-0,940535437311782;0,560351487060641;4,06096011820252;4,64015115488334
"26";26;"Dracophyllum verticillatum";60;"";"Dracophyllum";"verticillatum";27,9;2;70,9;9,08;0,92;9,08;78,5;78,5;897,18;92,83;92,83;1;0,17;4,98;63,72;53,58;613,91;1,06;25,56;15,59;76,11;32,91;24,75;571,02;60,88;3491,04;168,25;1,09;4,98;6;6;"5";-0,219614650382802;2,27463573506947;-0,121526188045045;2,05798590495571;-0,973885846895913;-1,31140405852905;-1,23269232172062;-0,418327274727945;-1,19337301356081;0,432400472999606;3,49377656295525;4,3321796622793
"27";27;"Elaeocarpus angustifolius";53;"";"Elaeocarpus";"angustifolius";26,1;1;77,4;9,5;0,5;9,5;18,33;18,33;700,57;57,5;57,5;1;7,5;2,08;136,93;116,03;422,64;0,44;9,27;31,1;152,93;90,29;24,7;396,68;23,68;11276,41;36,14;0,76;2,08;6;6;"4";-0,772134740624656;-1,15133846488651;-0,556534404569009;0,336954799028003;-0,384363977502105;0,161623290477868;0,153585503148199;0,371127286388987;-0,485796233690123;0,590400836984241;4,50302671231939;5,02998030036003
"28";28;"Elattostachys apetala";26;"F";"Elattostachys";"apetala";26,4;4;67,1;9,5;0,5;9,5;37;37;785,67;80;80;1;3,33;2,62;95,99;78,33;510,61;0,55;10,26;11,55;147,53;110,18;15,04;410,17;33,74;12723,75;33,43;1,13;2,62;6;6;"4";-0,669251689338242;-0,543504332636252;-0,438895085799356;0,470123949073688;-0,180014204371348;0,435466589294967;-0,635060953837197;-0,623962118500504;-0,535534773280096;0,746831152985833;4,70211539204457;4,99403154492948
"29";29;"Erythrina variegata";54;"N";"Erythrina";"variegata";26,1;1,33;77,4;9,5;0,5;9,5;27,33;27,33;661,8;81,67;81,67;1;3,5;1,83;171,9;154,96;370,77;0,55;10,36;60,64;239,61;105,03;40,42;298,78;31,37;19099,65;16,4;0,76;1,83;6;6;"4";-0,819765782886885;-0,543504332636252;-0,466609318948867;-0,629484028953658;-0,232925281878809;1,6418158154118;-0,602909899235874;1,87470483219132;0,312599435135587;0,438337298109428;4,65424602363468;5,47901260159741
"30";30;"Fagraea berteroana";31;"";"Fagraea";"berteroana";27,4;1,2;70,9;4,67;0,83;9,17;6,33;10,83;322,93;2,5;4,5;0,5;2,33;13,9;141,65;128,46;416,54;0,66;12,81;27,5;376,91;327,06;10,46;210,16;95,25;8749,13;24,62;1,06;13,9;3;6;"2";1,47986093753352;0,0643297996140026;0,280388661469165;-1,504313538001;2,04820996840887;-0,316549559187364;-0,824184804433216;0,187888316690666;1,57724785841397;0,867740309357672;5,79014364030424;5,93200643215778
"31";31;"Ficus fraseri";56;"";"Ficus";"fraseri";30;4,8;65,6;5,92;1;9;17;20,17;403,45;10;11,83;0,83;13,83;3,31;136,57;111,11;425,09;0,71;12,83;18,07;241,28;89,11;44,44;294,4;21,84;16306,81;18,32;1,46;3,31;5;6;"2";-0,53779001269449;0,340618041545936;-0,578050940009979;-0,672722048019641;-0,396487292348475;1,11339780812371;1,350739477421;-0,292095984491324;0,32798153904582;0,369321949602122;4,48987156162463;5,48595808481959
"32";32;"Ficus habrophyla";25;"F";"Ficus";"habrophyla";26,4;4;67,1;8,92;1,08;8,92;24,5;24,5;685,33;48,33;48,33;1;0,83;7,17;192,74;176,03;342,03;0,86;16,54;21,47;181,93;120,61;22,31;359,93;401,3;9743,38;38,56;1,13;7,17;6;6;"4";0,197633279834322;1,16948276734174;3,85926674391968;-0,0258299499845206;-0,072856429924199;-0,128432945365525;-1,10787058032724;-0,119036957554021;-0,21868185441064;0,662947287418238;4,79256219959515;5,20362199770871
"33";33;"Garcinia neglecta";66;"";"Garcinia";"neglecta";33,67;3;64,6;6,25;3,75;6,25;19,5;19,5;592,5;27,5;27,5;1;19;6,49;130,16;99,06;438,94;0,62;11,01;19,32;250,28;167,49;24,48;290,29;21,73;7839,38;39,62;1,89;6,49;6;6;"3";0,0680768448810602;-0,156700793931545;-0,579337254628733;-0,713294709745939;0,408788485328184;-0,488678389385421;2,32850978500241;-0,228471342234962;0,410879105029107;0,669210484257632;5,12092364799038;5,52258029113016
"34";34;"Gardenia urvillei";43;"L";"Gardenia";"urvillei";27,4;1,4;75;9,33;0,67;9,33;41,5;41,5;661,12;54,17;54,17;1;8,5;2,74;62,79;50,48;615,59;0,61;10,35;10,17;156,74;93,28;25,41;392,12;13,42;11961,93;33,75;0,91;2,74;6;6;"4";-0,646388789052372;-0,211958442317932;-0,676512477190941;0,291939875068898;-0,35364473056088;0,291326786688225;0,342709353744218;-0,694203723551527;-0,450702930757198;0,595125685849177;4,53560572260218;5,05458838162472
"35";35;"Geissois pruinosa";6;"M";"Geissois";"pruinosa";31,8;4,2;54,9;8,33;1,67;8,33;75,17;75,17;789,67;69,17;69,17;1;3,33;9,46;94,71;82,19;513,81;0,76;14,33;22,92;157,76;102,02;22;392,64;35,54;5881,55;69,75;2,12;9,46;6;6;"5";0,633933626956338;0,61690628347787;-0,417846301128842;0,297073155871252;-0,263850008732684;-0,859108713789555;-0,635060953837197;-0,0452323725366418;-0,441307873279092;0,646678498985801;4,62516887249478;5,06107489085433
"36";36;"Geissois racemosa";49;"F";"Geissois";"racemosa";29,5;5;59,9;9,08;0,92;9,08;34,17;34,17;748;70;70;1;1;4,21;114,23;103,96;494,6;0,74;13,77;43,79;169,06;99,05;25,85;374,22;118,54;9823,28;39,4;1,65;4,21;6;6;"4";-0,366318260550467;0,506390986705097;0,552736547567099;0,11523655514171;-0,294363775761259;-0,113315502625404;-1,07571952572592;1,01704465457557;-0,337225373766742;0,585886667455341;4,59562477314456;5,13025368150078
"37";37;"Glochidion billardierei";50;"";"Glochidion";"billardierei";29,5;5;59,9;9,17;0,83;9,17;25,83;25,83;736,95;79,17;79,17;1;10;2,71;133,25;122,91;431,26;0,58;11,87;97,76;134,99;33,67;42,63;429,28;18,73;8678,84;51,99;1,65;2,71;6;6;"4";-0,652104514123839;-0,377731387477092;-0,614418562412924;0,6587720185602;-0,9660776102152;-0,329848746298792;0,626395129638246;3,76410220863622;-0,651038715216811;0,24942588339877;3,51660723317298;4,90520070162074
"38";38;"Grevillea rubiginosa";4;"M";"Grevillea";"rubiginosa";31,8;4,2;54,9;8,33;1,67;8,33;68,67;68,67;750,45;55,83;55,83;1;11,83;2,94;75,33;63,42;571,11;0,75;13,48;76,2;100,88;17,7;41,22;500,52;15,56;4484,84;113,39;2,12;2,94;6;6;"5";-0,608283955242589;0,561648635091484;-0,651487810971552;1,36203148848271;-1,13015332046649;-1,12337258675018;0,972491776228959;2,6667043789985;-0,965220490293472;0,175455987311657;2,87356463957978;4,61393169165666
"39";39;"Guioa villosa";32;"M";"Guioa";"villosa";27,4;1,2;70,9;9,25;0,75;9,25;36;36;759;84,17;84,17;1;6,5;4,2;71,57;56,55;583,41;0,44;8,05;23,35;103,97;60,7;21,25;492,52;3,52;6775,74;75,75;1,06;4,2;6;6;"4";-0,368223502240956;-1,15133846488651;-0,79228079287877;1,28305793767726;-0,688371508268274;-0,689923906232754;-0,035538347447819;-0,0233454956004535;-0,93675899263921;0,583822256420121;4,10594369806545;4,64410239598988
"40";40;"Hernandia cordigera";30;"";"Hernandia";"cordigera";27,4;1,2;70,9;9;1;9;17,8;17,8;671,2;15;15;1;2,8;7,84;237,41;215,51;296,8;0,83;18,18;9,49;208,93;175,19;11,06;325,88;85,35;7194,12;46,88;1,06;7,84;5;5;"2";0,325284473097096;1,00370982218258;0,164620345781336;-0,361961125600205;0,487898251698562;-0,61076451081834;-0,735296594653087;-0,728815528938988;0,0300108435392236;0,838510505911071;5,16587109924773;5,34199926763416
"41";41;"Hibbertia lucens";10;"M";"Hibbertia";"lucens";28,32;2,25;77,32;9,08;0,92;9,08;43;43;796,5;60,83;60,83;1;9,5;4,72;96,72;77,7;508,9;1,02;11,97;54,32;200,94;75,98;42,26;337,08;8,81;7141,27;48,76;0,88;4,72;6;6;"4";-0,26915093433552;2,05360514152393;-0,730420753485981;-0,251398154472579;-0,531384855003419;-0,620763970753451;0,531833204340236;1,55301864094315;-0,0435837733726065;0,378122822733154;4,33047014775948;5,30300635603417
"42";42;"Hibiscus tiliaceus";16;"";"Hibiscus";"tiliaceus";28,5;3,2;68,1;9;1;9;42,33;42,33;719,02;75,83;75,83;1;5,17;4,49;150,34;133,44;401,54;0,62;12,61;16,77;193,67;101,02;31,85;343,83;152,3;12595,53;28,44;1,24;4,49;6;6;"4";-0,31297149321677;-0,156700793931545;0,947518197831857;-0,184764220980483;-0,274124004365201;0,411206783185602;-0,287073068740523;-0,35826561243794;-0,110546585005774;0,521608922393763;4,61531851703991;5,26615567973964
"43";43;"Lepidocupania arcuata";45;"L";"Lepidocupania";"arcuata";25,7;1,2;76,8;8,67;1,33;8,67;29,17;29,17;776,28;56,67;56,67;1;8;2,18;71,54;59,47;585,69;0,57;9,78;28,58;92,47;22,02;36,58;519,91;20,82;7356,39;71,45;0,77;2,18;6;6;"4";-0,753082323719764;-0,432989035863479;-0,589978584656604;1,55344363224741;-1,08576965933402;-0,58006229012448;0,248147428446209;0,242860007600162;-1,04268366028452;0,238131285822429;3,09195113129453;4,52688426758955
"44";44;"Leucaena leucocephala";18;"I";"Leucaena";"leucocephala";26,3;1,5;81,7;9,5;0,5;9,5;27;27;655,27;76,67;76,67;1;16,33;2,67;117,83;98,35;465,02;0,51;11,75;77,67;284,62;24,06;66,45;277,47;0,26;24114,61;12,34;0,63;2,67;6;6;"4";-0,659725480885796;-0,764534926181799;-0,830402480670924;-0,839849824911668;-1,06481070824369;2,59066901496118;1,82354910391104;2,74152695829198;0,727179373458675;0,0845337643173354;3,18055071054653;5,65115495725551
"45";45;"Macaranga alchorneoides";65;"";"Macaranga";"alchorneoides";31,8;5;76,6;9;1;9;26,67;26,67;748,5;80;80;1;0,17;6,02;139,37;122,34;427,19;0,64;12,41;45;189,72;79,98;39,05;351,67;239,12;7923,69;47,02;1,1;6,02;6;6;"4";-0,0214695145719301;-0,046185497158771;1,96277124510633;-0,107370141191145;-0,490288872473352;-0,472726554624225;-1,23269232172062;1,07863330827972;-0,146929405631772;0,42156862745098;4,38177660341867;5,24554930100938
"46";46;"Mangifera indica";1;"I";"Mangifera";"indica";30,2;5,7;75,1;8,83;1,17;8,83;19,33;19,33;758,95;57,5;57,5;1;7;NA;155,04;128,28;403,6;0,4;7,02;7,93;152,63;119,4;13,32;404,35;56,78;10450,65;41,67;1,07;6,12;6;6;"4";-0,00241709766703849;-1,37236905843205;-0,169470642016772;0,412670690862725;-0,0852879646395441;0,00538574958823087;0,0590235778501902;-0,808219082474927;-0,488559485889566;0,7822839546616;4,7824792009585;5,02801669192703
"47";47;"Melaleuca quinquenervia";23;"";"Melaleuca";"quinquenervia";28,1;3;70,3;9,25;0,75;9,25;63,17;63,17;780,03;68,33;68,33;1;10,33;3,27;125,17;100,82;446,79;0,64;12,88;26,82;120,78;65,62;24,94;454,41;10,01;4901,04;94,73;1,13;3,27;6;6;"5";-0,545410979456447;-0,046185497158771;-0,716388230372304;0,906847685027811;-0,637823449756292;-1,04462565723281;0,688806000334932;0,153276511303205;-0,781924761063758;0,543301871170724;4,18388052753296;4,79397070887975
"48";48;"Metrosideros laurifolia";11;"M";"Metrosideros";"laurifolia";28,32;2,67;77,32;7,83;2,17;7,83;56,5;56,5;681,17;26,67;26,67;1;7,17;6,67;78,63;66,55;561,32;1,06;15,79;20,82;137,44;106,08;13,32;422,93;54,02;3766,61;114,9;0,88;6,67;6;6;"3";0,102371195309865;2,27463573506947;-0,201745445178228;0,596086762608376;-0,222137586464667;-1,25926496346153;0,0911746324515134;-0,152121771527329;-0,628472155588027;0,771827706635623;4,66419352643755;4,92318745823595
"49";49;"Montrouziera sphaeroidea";67;"";"Montrouziera";"sphaeroidea";31,8;5;76,6;5,42;4,58;5,42;25,83;25,83;728,67;23,33;23,33;1;8,67;6,94;102,02;87,56;495,73;0,77;13,95;8,17;195,88;156,3;13,3;342,91;27,51;6408,46;56,17;1,1;6,94;6;6;"3";0,153812720953072;0,672163931864257;-0,511747268297859;-0,193846179323109;0,293822474200322;-0,759414949656928;0,374860408345541;-0,796003151161706;-0,090190627136544;0,797937512762916;5,05177723742743;5,27750222683412
"50";50;"Morinda citrifolia";69;"";"Morinda";"citrifolia";34,2;0;68,9;2,42;7,08;2,92;3,83;4,33;220,5;1,67;3,17;0,33;3,17;9,67;179,42;143,64;369,1;0,58;11,72;16,53;334,57;218,3;27,08;231,42;119,53;14147,35;16,95;1,67;9,67;2;6;"1";0,67394370245661;-0,377731387477092;0,564313379135881;-1,29444132673552;0,930810203416357;0,704818172334212;-0,66532076993256;-0,370481543751161;1,18726086466592;0,652479301790358;5,3858702635559;5,81284612523841
"51";51;"Myodocarpus fraxinifolius";37;"F";"Myodocarpus";"fraxinifolius";26,6;1,5;65,3;9,42;0,58;9,42;68;68;782,48;91,67;91,67;1;0,5;8,08;103,27;90,48;496,1;0,76;15,36;17,39;140,74;91,97;20,38;417,76;21,3;8029,22;53,55;1,21;8,08;6;6;"5";0,371010273668835;0,61690628347787;-0,584365575411134;0,545050105400356;-0,367103664839477;-0,45275979952579;-1,17028145102393;-0,326707789878784;-0,598076381394154;0,65347449197101;4,52146243691461;4,9469142165384
"52";52;"Neuburgia novocaledonica";27;"F";"Neuburgia";"novocaledonica";26,4;4;67,1;4,75;0,5;9,5;6,33;11,33;249,1;16,67;32,5;0,33;2,5;6,18;193,87;165,12;350,04;0,58;12,36;33,76;397,04;257,35;28,29;203,35;147,76;15496,63;13,54;1,13;6,18;2;6;"2";0,00901435247589635;-0,377731387477092;0,894428485385115;-1,57153977312414;1,33200973286613;0,960108073966126;-0,792033749831893;0,506520525110523;1,76266208099659;0,648171468869635;5,55043702609876;5,98403703127919
