"";"ID_espece";"Nom_scientifique.x";"Milieu_recolte.x";"T_ambiante.x";"Vent.x";"Humidite.x";"DI.x";"DI_test.x";"score_DI.x";"BT.x";"BT_test.x";"MT.x";"BB.x";"BB_test.x";"FI.x";"Nb_ramifications.x";"SD.x";"TMC_t0.x";"TMC_t24.x";"TDMC.x";"TD.x";"TDIA.x";"Gmin.x";"LMC_t0.x";"LMC_t24.x";"PEF.x";"LDMC.x";"Surface_F.x";"SLA.x";"LT.x";"Nb_FI";"X";"Nom_scientifique.y";"Milieu_recolte.y";"T_ambiante.y";"Vent.y";"Humidite.y";"DI.y";"DI_test.y";"score_DI.y";"BT.y";"BT_test.y";"MT.y";"BB.y";"BB_test.y";"FI.y";"Nb_ramifications.y";"SD.y";"TMC_t0.y";"TMC_t24.y";"TDMC.y";"TD.y";"TDIA.y";"Gmin.y";"LMC_t0.y";"LMC_t24.y";"PEF.y";"LDMC.y";"Surface_F.y";"SLA.y";"LT.y";"coefBB";"coefMT";"coefBT";"coefDI";"coefSLA";"coefLA";"coefLDMC";"coefLMC_t24";"coefTD";"coefLT"
"11";11;"Metrosideros laurifolia";"M";28,32;2,67;77,32;7,83;2,17;7,83;56,5;56,5;681,17;26,67;26,67;1;7,17;6,67;78,63;66,55;561,32;1,06;15,79;20,82;137,43;106,02;13,34;422,94;54,02;3766,4;114,91;6;43;"Metrosideros laurifolia";"M";1,23;1,57;4,17;0,68;0,68;0,68;50,14;50,14;167,27;28,05;28,05;0;3,25;1,72;10,06;8,99;32,23;0,13;1,57;6,2;16,27;22,14;5,54;28,1;25,22;481,8;22,37;105,174353205849;24,5562781684455;88,7433628318584;31,3364055299539;12,7920560747664;46,6864124398371;6,64396841159503;20,8828522920204;12,2641509433962;19,4674092768253
"12";12;"Tristaniopsis glauca";"M";28,32;2,75;77,32;9;1;9;64,83;64,83;775,83;86,17;86,17;1;8,17;3,67;54,47;42,95;648,21;0,86;11,39;20,07;91,68;50,2;21,87;522,46;15,84;3692,81;143,24;6;54;"Tristaniopsis glauca";"M";1,23;1,75;4,17;0;0;0;21,33;21,33;52,1;11,32;11,32;0;1,17;1,23;6,07;3,27;25,59;0,12;1,66;2,5;5,46;16,16;6,98;15,11;4,2;344,44;16,55;13,1368225600557;6,71538868050991;32,9014345210551;0;9,32731442993276;26,5151515151515;2,89208743253072;32,191235059761;13,953488372093;11,5540351857023
"13";13;"Calophyllum inophyllum";"G";28,5;3,2;68,1;9,1;0,9;9,1;33,6;33,6;622,58;78;78;1;1,6;14,43;126,98;106,94;442,46;0,6;11,59;9,27;144,14;105,03;16,09;415,76;110,17;6810,62;63,82;5;14;"Calophyllum inophyllum";"G";0;0;0;0,22;0,22;0,22;14,6;14,6;89,78;4,47;4,47;0;1,14;5,89;16,7;16,82;32,16;0,05;1,06;3,93;13,27;16,75;4,04;25,78;19,88;371,72;9,49;5,73076923076923;14,420636705323;43,4523809523809;24,4444444444444;5,4579465599314;18,0448397930471;6,20069270733115;15,9478244311149;8,33333333333333;14,8699467251645
"14";14;"Santalum austrocaledonicum";"G";28,5;3,2;68,1;9;1;9;28,5;28,5;603,6;35;35;1;11,33;3,13;88,43;66,19;532,03;0,53;9,71;25,5;234,06;149,62;25,36;302,79;8,4;10106,48;30,89;6;47;"Santalum austrocaledonicum";"G";0;0;0;0,32;0,32;0,32;14,05;14,05;90,12;24,49;24,49;0;2,73;1,42;10,28;11,25;29,5;0,11;2;12,68;35,13;33,69;3,93;34,14;2,25;1666,42;6,61;69,9714285714286;14,9304174950298;49,2982456140351;32;16,4886290775819;26,7857142857143;11,2751411869613;22,517043176046;20,7547169811321;21,3985108449336
"15";15;"Syzygium cumini";"N";28,5;3,2;68,1;9,33;0,67;9,33;25,83;25,83;725,15;63,33;63,33;1;4,5;3,28;114,88;86,21;466,25;0,43;7,87;14,99;181,16;146,44;12,27;359,86;70,89;10230,6;37,25;6;50;"Syzygium cumini";"N";0;0;0;0,26;0,26;0,26;8,21;8,21;65,23;22,06;22,06;0;2,26;1,21;10,32;8,79;21,88;0,11;1,42;8,77;29,68;24,02;2,19;39,93;13,4;1849,58;11,75;34,8334122848571;8,99538026615183;31,7847464188928;38,8059701492537;18,0789005532422;18,9025250387925;11,0959817706886;16,4026222343622;25,5813953488372;31,5436241610738
"16";16;"Hibiscus tiliaceus V";"G";28,5;3,2;68,1;9;1;9;42,33;42,33;719,02;75,83;75,83;1;5,17;4,49;150,34;133,44;401,54;0,62;12,61;16,77;193,64;101,04;31,84;343,89;152,2;12588,61;28,46;6;38;"Hibiscus tiliaceus V";"G";0;0;0;0,55;0,55;0,55;16,74;16,74;37,12;10,21;10,21;0;1,6;1,29;19,98;21,25;31,37;0,11;1,63;6,37;14,98;21,46;7,13;15,35;25,47;1236,53;3,15;13,4643281023342;5,16258240382743;39,5464209780298;55;9,82260948587652;16,7345597897503;4,46363662799151;21,2391132224861;17,741935483871;11,0681658468025
"17";17;"Barringtonia asiatica";"G";26,3;1,5;81,7;4,17;4,17;5,83;9,83;11,5;331,75;4,67;5,83;0,67;2;4,92;215,83;193,71;321,18;0,84;16,72;3,27;324,13;304,66;4,59;237,58;377,08;9536,19;25,59;4;12;"Barringtonia asiatica";"G";0;0;0;3,43;1,83;1,83;8,75;6,75;176,51;4,55;3,43;0,52;1,67;1,22;43,33;45,6;40,11;0,14;2,82;2,16;34,45;32,31;0,6;19,6;34,43;1245,88;5,4;58,8336192109777;53,20572720422;58,695652173913;43,8848920863309;13,064756469827;9,13068844807468;8,24985268120212;10,6052648854461;16,6666666666667;21,1019929660023
"18";18;"Leucaena leucocephala";"L";26,3;1,5;81,7;9,5;0,5;9,5;27;27;655,27;76,67;76,67;1;16,33;2,67;117,83;98,35;465,02;0,51;11,75;77,67;284,62;24,06;66,45;277,47;0,26;24114,61;12,34;6;40;"Leucaena leucocephala";"L";0;0;0;0;0;0;6,16;6,16;55,79;14,38;14,38;0;4,59;1,21;25,98;20,49;59,91;0,1;2,48;10,48;104,8;16,49;6,45;80,32;0,06;5509,54;5,14;18,7557062736403;8,51404764448243;22,8148148148148;0;22,8473112358027;23,0769230769231;28,9472735791257;68,5369908561928;19,6078431372549;41,6531604538088
"19";19;"Acropogon bullatus";"G";29,1;1,5;68,8;4,42;3,75;6,25;25,33;27,17;464,12;15,83;17;0,67;1,67;10,76;150,36;132,84;401,5;0,99;18,41;6,56;177,51;150,3;9,8;363,52;174,54;8185,96;46,58;4;3;"Acropogon bullatus";"G";0;0;0;3,61;1,33;1,33;39,58;38,25;261,73;31,53;30,89;0,52;1,51;3,09;20,08;15,58;31,12;0,19;3,59;5,95;16,39;12,84;1,56;23,06;41,11;1147,54;9,86;181,705882352941;56,3927432560545;140,78027235922;35,4666666666667;14,0183924671022;23,5533402085482;6,34352992957746;8,54291417165669;19,1919191919192;21,1678832116788
"20";20;"Cerbera manghas";"G";29,1;1,5;68,8;5,67;1,25;8,75;12,83;16;424,57;10;15;0,67;3,33;5,43;223,47;201,5;333,02;0,75;15,92;2,8;281,45;251,62;7,8;263,52;68,34;13831,25;19,61;4;16;"Cerbera manghas";"G";0;0;0;4,46;0,88;0,88;11,69;7,95;246,99;8,37;4,47;0,52;1,86;1,97;80,51;75,77;117,15;0,12;2,89;1,15;15,95;16,34;1,92;12,19;15,64;1801,55;3,43;29,8;58,1741526721153;49,6875;70,4;13,0252146407592;22,8855721393035;4,62583485124469;6,49391940227327;16;17,491075981642
"21";21;"Scaevola taccada";"G";29,1;1,5;68,8;0,83;9,17;0,83;0,83;0,83;150;0,17;0,17;0;4;11,41;243,76;219,39;292,8;0,65;13,25;14,51;775,09;673,62;11,8;116,6;48,76;17147,24;7,05;0;49;"Scaevola taccada";"G";0;0;0;2,04;2,04;2,04;2,04;2,04;0;0,41;0,41;0;4;4,12;30,38;25,72;25,76;0,09;0,97;5,56;82,86;92,36;2,39;10,31;10,12;2996,41;1,14;241,176470588235;0;245,783132530121;22,2464558342421;17,4745906629872;20,7547169811321;8,84219554030875;13,710994329147;13,8461538461538;16,1702127659574
"22";22;"Acacia spirorbis";"L";29,1;1,5;68,8;9,33;0,67;9,33;54,67;54,67;656,47;58,33;58,33;1;13,33;3,07;74,53;59,64;574,04;0,59;11,12;11,88;226,52;163,18;19,37;313,55;7,76;10328,33;33,18;6;1;"Acacia spirorbis";"L";0;0;0;0,26;0,26;0,26;41,02;41,02;70,62;10,33;10,33;0;1,63;1,15;8,17;6,71;27,47;0,07;1,85;7,11;32,75;25,52;3,94;35,38;1,46;1595,22;9,9;17,709583404766;10,7575365210901;75,0320102432779;38,8059701492537;15,4450913167956;18,8144329896907;11,2836868123106;15,6391714670916;11,864406779661;29,8372513562387
"23";23;"Melaleuca quinquenervia";"R";28,1;3;70,3;9,25;0,75;9,25;63,17;63,17;780,03;68,33;68,33;1;10,33;3,27;125,17;100,82;446,79;0,64;12,88;26,82;120,4;64,96;25,1;455,23;10,01;4900,4;94,91;6;42;"Melaleuca quinquenervia";"R";0;0;0;0,27;0,27;0,27;7,65;7,65;23,75;15,06;15,06;0;3,27;1,31;18,77;19,72;38,86;0,08;1,94;9,03;10,99;13,02;6,2;22,93;2,86;548,46;15,97;22,0400995170496;3,04475468892222;12,1101788823809;36;11,1921475797894;28,5714285714286;5,03701425652967;20,0431034482759;12,5;16,8264671794331
"24";24;"Pinus caribea";"N";28,1;3;70,3;9,5;0,5;9,5;103,33;103,33;902;77,5;77,5;1;4,5;8;86,4;78,19;537,57;0,71;15,29;9,66;129,41;111,12;8,01;437,77;4,91;7626,93;58,06;6;46;"Pinus caribea";"N";0;0;0;0;0;0;49,1;49,1;69,74;23,4;23,4;0;4,51;2,37;9,25;9,36;26,14;0,1;2,01;3;12,86;16,07;3,4;23,38;0,85;572,04;5,81;30,1935483870968;7,73170731707317;47,51766186006;0;7,50026550656686;17,3116089613035;5,3407040226603;14,4618430525558;14,0845070422535;10,006889424733
"25";25;"Ficus habrophyla";"F";26,4;4;67,1;8,92;1,08;8,92;24,5;24,5;685,33;48,33;48,33;1;0,83;7,17;192,74;176,03;342,03;0,86;16,54;21,47;181,89;120,59;22,31;359,99;401,3;9743,38;38,57;6;26;"Ficus habrophyla";"F";0;0;0;0,2;0,2;0,2;8,26;8,26;33,07;30,44;30,44;0;1,33;2;11,33;8,58;13,35;0,18;2,91;16,68;27,8;35,25;6,77;36,01;108,5;1150,36;8,37;62,9836540451066;4,82541257496389;33,7142857142857;18,5185185185185;11,806580467969;27,0371293296785;10,0030556404345;29,2312795422506;20,9302325581395;21,7008037334716
"26";26;"Elattostachys apetala";"F";26,4;4;67,1;9,5;0,5;9,5;37;37;785,67;80;80;1;3,33;2,62;95,99;78,33;510,61;0,55;10,26;11,55;147,53;109,8;15,19;410,17;33,65;12700,76;33,49;6;23;"Elattostachys apetala";"F";0;0;0;0;0;0;18,41;18,41;37,24;8,94;8,94;0;2,07;0,63;5,96;5,83;15,2;0,06;0,97;6,53;6,72;5,74;1,55;13,5;8,71;1210,17;3,42;11,175;4,73990352183487;49,7567567567568;0;9,52832743867296;25,8841010401189;3,29131823390302;5,22768670309654;10,9090909090909;10,2120035831592
"27";27;"Neuburgia novocaledonica";"F";26,4;4;67,1;4,75;0,5;9,5;6,33;11,33;249,1;16,67;32,5;0,33;2,5;6,18;193,87;165,12;350,04;0,58;12,36;33,76;397,04;257,32;28,3;203,35;147,76;15496,63;13,54;2;45;"Neuburgia novocaledonica";"F";0;0;0;5,2;0;0;7,09;2,07;163,04;21,83;12,94;0,52;1,52;2,97;61,87;44,31;55,71;0,14;4,42;5,77;35,48;35,45;8,62;15,81;44,46;1235,23;2,17;39,8153846153846;65,4516258530711;18,270079435128;0;7,97095884718161;30,0893340552247;7,77477255962626;13,7766205502876;24,1379310344828;16,02658788774
"28";28;"Archidendropsis granulosa";"F";26,4;4;67,1;9,5;0,5;9,5;28;28;704,23;88,33;88,33;1;7,83;1,81;86,36;68,42;538,62;0,52;9,56;16,44;130,44;41,65;38,39;435,02;0,43;13711,39;32,52;6;10;"Archidendropsis granulosa";"F";0;0;0;0;0;0;13,08;13,08;112,92;9,31;9,31;0;1,94;0,58;12,59;14,29;36,1;0,08;1,56;2,86;12,83;4,31;3,53;23,31;0,08;1988,84;6,62;10,5400203781275;16,0345341720745;46,7142857142857;0;14,5050210080816;18,6046511627907;5,35837432761712;10,3481392557023;15,3846153846154;20,3567035670357
"29";29;"Alstonia balansae";"F";27,4;1,2;70,9;9,17;0,83;9,17;27,5;27,5;485,48;21,67;21,67;1;2,5;6,1;118,34;101,03;465,01;0,55;10,9;7,59;252,11;203,46;13,97;285,65;105,21;11204,81;26,52;6;7;"Alstonia balansae";"F";0;0;0;0,26;0,26;0,26;23,03;23,03;133,53;21,13;21,13;0;1,05;1,28;29,7;31,75;62,05;0,04;0,87;2,24;20,54;24,51;2,68;16,23;51,12;1379,23;4,6;97,5080756806645;27,504737579303;83,7454545454545;31,3253012048193;12,3092671807911;48,5885372112917;5,68177840014003;12,0465939250958;7,27272727272727;17,3453996983409
"30";30;"Hernandia cordigera";"F";27,4;1,2;70,9;9;1;9;17,8;17,8;671,2;15;15;1;2,8;7,84;237,41;215,51;296,8;0,83;18,18;9,49;208,93;175,19;11,06;325,88;85,35;7194,12;46,88;5;33;"Hernandia cordigera";"F";0;0;0;0;0;0;2,95;2,95;59,73;6,12;6,12;0;1,92;3,01;14,11;17,18;12,71;0,08;0,94;5,07;24,73;25,94;1,65;26,82;15,02;1082,84;11,2;40,8;8,89898688915375;16,5730337078652;0;15,0517366960796;17,5981253661394;8,23002332146802;14,8067812089731;9,63855421686747;23,8907849829352
"31";31;"Fagraea berteroana";"N";27,4;1,2;70,9;4,67;0,83;9,17;6,33;10,83;322,93;2,5;4,5;0,5;2,33;13,9;141,65;128,46;416,54;0,66;12,81;27,5;376,91;327,05;10,47;210,16;95,25;8749,13;24,62;3;25;"Fagraea berteroana";"N";0;0;0;5,12;0,26;0,26;6,98;2,14;202,6;2,74;1,22;0,55;0,82;6,45;21,3;20,43;37,31;0,1;1,22;12,27;17;16,93;1,29;7,42;14,52;1187,78;4,07;27,1111111111111;62,7380546867742;19,7599261311173;31,3253012048193;13,5759784115678;15,244094488189;3,53064331937571;5,17657850481578;15,1515151515152;16,5312753858652
"32";32;"guioa villosa";"M";27,4;1,2;70,9;9,25;0,75;9,25;36;36;759;84,17;84,17;1;6,5;4,2;71,57;56,55;583,41;0,44;8,05;23,35;103,97;60,7;21,25;492,52;3,52;6772,88;75,77;6;32;"guioa villosa";"M";0;0;0;0,27;0,27;0,27;11,78;11,78;77,54;13,2;13,2;0;2,74;2,14;5,88;5,7;20,14;0,04;0,45;7,95;12,19;21,65;8,42;28,5;1,02;988,68;13,73;15,6825472258524;10,2160737812912;32,7222222222222;36;14,5976305500762;28,9772727272727;5,78656704296272;35,667215815486;9,09090909090909;18,1206282169724
"33";33;"Hibiscus tiliaceus P";"G";28,3;2,17;75,1;8,92;1,08;8,92;36,83;36,83;727,72;63,33;63,33;1;3;5,04;169,84;149,64;381,11;0,61;12,56;13,32;213,64;132,51;25,8;327,33;172,44;15602,69;22,71;6;36;"Hibiscus tiliaceus P";"G";0;0,41;0;0,97;0,97;0,97;17,05;17,05;43,38;26,01;26,01;0;2,37;1,36;51,57;48,87;66,33;0,17;1,96;4,28;49,76;31,89;2,37;39,81;46,9;3642,16;5,73;41,0705826622454;5,96108393338097;46,2937822427369;89,8148148148148;23,3431542894206;27,1978659243795;12,1620383099624;24,0661082182477;27,8688524590164;25,2311756935271
"34";34;"Hibiscus tiliaceus R";"N";27,43;1,9;75,67;9,33;0,67;9,33;28,33;28,33;720,57;64,17;64,17;1;2,33;5,53;194,73;173,56;354,34;0,52;12,19;14,91;201,66;118,51;27,34;333,94;168,58;14767;23,41;6;37;"Hibiscus tiliaceus R";"N";1,34;0,67;0,88;0,26;0,26;0,26;4,97;4,97;61,33;14,63;14,63;0;1,21;2,01;62,7;55,73;85,09;0,07;1,38;5,5;13,53;11,14;3,72;13,86;80,68;1836,98;3,28;22,7988156459405;8,51131742925739;17,5432403812213;38,8059701492537;12,4397643394054;47,8585834618579;4,15044618793795;9,40005062863893;13,4615384615385;14,0111063648014
"35";35;"Hibiscus tiliaceus G";"N";28,3;2,33;75,1;9,17;0,83;9,17;28,83;28,83;740,17;81,67;81,67;1;0,67;6,3;203,12;186,36;339,44;0,64;13,34;21,53;214,9;117,47;31,57;321,99;601,91;15059;22,73;6;35;"Hibiscus tiliaceus G";"N";0;0,52;0;0,26;0,26;0,26;7,33;7,33;124,72;16,33;16,33;0;0,82;3,14;54,07;47,31;64,59;0,07;1,55;7,88;23,7;26,52;3,96;23,45;71,06;2476;4,89;19,9951022407249;16,8501830660524;25,4249046132501;31,3253012048193;16,4419948203732;11,8057516904521;7,28283487064816;22,575976845152;10,9375;21,5134183897932
"36";36;"Tabernaemontana cerifera";"F";26,6;1,5;65,3;8,5;1,5;8,5;20;20;449,35;11,67;11,67;1;3;6,63;183,78;168,78;353,79;0,76;15,55;56,86;318,72;232,23;20,98;241,77;99,83;7270,54;34,8;6;51;"Tabernaemontana cerifera";"F";0;0;0;0,45;0,45;0,45;7,67;7,67;175,64;6,83;6,83;0;0,63;1,86;19,71;18,75;24,48;0,04;0,59;29,82;34,79;35,52;4,38;17,67;37,76;1213,63;7,65;58,5261353898886;39,0875709357961;38,35;30;16,6924327491493;37,8243013122308;7,30859908177193;15,2951815010981;5,26315789473684;21,9827586206897
"37";37;"Myodocarpus fraxinifolius";"F";26,6;1,5;65,3;9,42;0,58;9,42;68;68;782,48;91,67;91,67;1;0,5;8,08;103,27;90,48;496,1;0,76;15,36;17,39;140,79;91,28;20,68;417,65;21,3;8031,59;53,51;6;44;"Myodocarpus fraxinifolius";"F";0;0;0;0,2;0,2;0,2;41,32;41,32;33,3;6,06;6,06;0;0,55;3,53;21,29;19,77;47,56;0,13;1,71;6,57;20,24;21,63;3,85;32,81;7,17;1243,29;11,25;6,61066870295626;4,25569982619364;60,7647058823529;34,4827586206897;15,4799983564898;33,6619718309859;7,8558601699988;23,6963190184049;17,1052631578947;21,0241076434311
"38";38;"Agathis lanceolata";"F";26,6;1,5;65,3;7,42;2,58;7,42;87,17;87,17;730,98;50,83;50,83;1;11,83;4,28;97,78;88,62;505,98;0,83;15,48;15,2;121,86;108,65;6,12;458,23;18,85;4454,11;111,92;6;4;"Agathis lanceolata";"F";0;0;0;0,8;0,8;0,8;48,18;48,18;98,85;25,18;25,18;0;6,68;1,27;5,91;3,25;14,9;0,17;2,55;6,72;31,24;33,25;2,41;61,21;3,82;1112,86;41,36;49,5376746016132;13,5229418041533;55,2713089365607;31,0077519379845;24,985013841149;20,2652519893899;13,3579206948476;30,6028531983433;20,4819277108434;36,9549678341673
"39";39;"Calophyllum caledonicum";"F";26,6;1,5;65,3;8,4;1,6;8,4;33;33;744,04;38;38;1;8,6;4,39;96,14;85,1;511,55;0,63;12,01;15,3;128,13;96,6;13,86;438,86;31,76;5560,48;80,28;5;13;"Calophyllum caledonicum";"F";0;0;0;0,89;0,89;0,89;10,2;10,2;41,16;10,37;10,37;0;3,21;1,04;12,77;12,7;32,82;0,06;1,27;5,35;6,61;8,09;3,19;12,46;9,37;691,88;12,09;27,2894736842105;5,53196064727703;30,9090909090909;55,625;12,4428106926021;29,5025188916877;2,83917422412615;8,37474120082816;9,52380952380952;15,0597907324365
"40";40;"Diospyros fasciculosa";"L";27,4;1,4;75;9,33;0,67;9,33;20,33;20,33;709,98;33,33;33,33;1;7,5;2,21;86,77;73,44;536,18;0,48;9,1;10,66;103,67;58,12;22,36;492,48;35,83;9212,55;55,47;6;21;"Diospyros fasciculosa";"L";0;0;0;0,26;0,26;0,26;7,76;7,76;51,41;25,63;25,63;0;2,07;0,33;7,81;7,36;22,16;0,1;1,63;4,02;7,52;11,74;4,85;18,2;10,29;1322,31;8,61;76,8976897689769;7,24104904363503;38,170191834727;38,8059701492537;14,3533549343016;28,7189506000558;3,69558154645874;20,1995870612526;20,8333333333333;15,5219037317469
